Sample;s1(i1)
V-V length(cm);1.000000
Field (T);11.049683
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;11.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	6.550314E-4	5.744462E-4	3.301310E+2	6.766900E+1	1.410000E+0
8.000000E-3	6.606449E-4	7.808251E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.600000E-2	6.606449E-4	7.808251E-4	3.301310E+2	6.766900E+1	1.410000E+0
9.800000E-2	6.530265E-4	3.971914E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.060000E-1	6.530265E-4	3.971914E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.880000E-1	6.506207E-4	3.489861E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.960000E-1	6.506207E-4	3.489861E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.770000E-1	6.592415E-4	6.251622E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.860000E-1	6.592415E-4	6.251622E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.010000E-1	6.510222E-4	3.007844E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.100000E-1	6.510222E-4	3.007844E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.940000E-1	6.574377E-4	3.590325E-4	3.301310E+2	6.766900E+1	1.410000E+0
5.020000E-1	6.574377E-4	3.590325E-4	3.301310E+2	6.766900E+1	1.410000E+0
5.870000E-1	1.165324E-2	5.188917E-1	3.301310E+2	6.766900E+1	1.410000E+0
5.960000E-1	1.165324E-2	5.188917E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.790000E-1	1.167810E-2	5.198543E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.870000E-1	1.167810E-2	5.198543E-1	3.301310E+2	6.766900E+1	1.410000E+0
7.680000E-1	1.167208E-2	5.197042E-1	3.301310E+2	6.766900E+1	1.410000E+0
7.770000E-1	1.167208E-2	5.197042E-1	3.301310E+2	6.766900E+1	1.410000E+0
8.890000E-1	1.168231E-2	5.200582E-1	3.301310E+2	6.766900E+1	1.410000E+0
9.020000E-1	1.168231E-2	5.200582E-1	3.301310E+2	6.766900E+1	1.410000E+0
9.840000E-1	1.166667E-2	5.197966E-1	3.301310E+2	6.766900E+1	1.410000E+0
9.930000E-1	1.166667E-2	5.197966E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.078000E+0	1.166928E-2	5.198819E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.087000E+0	1.166928E-2	5.198819E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.167000E+0	1.167329E-2	5.197875E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.176000E+0	1.167329E-2	5.197875E-1	3.301310E+2	6.766900E+1	1.410000E+0
