Sample;s1(i1)
V-V length(cm);1.000000
Field (T);13.059060
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;13.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	6.923287E-4	2.219386E-4	3.301310E+2	6.766900E+1	1.410000E+0
7.500000E-2	6.933311E-4	-8.737975E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.300000E-2	6.933311E-4	-8.737975E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.680000E-1	6.957370E-4	-1.943356E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.770000E-1	6.957370E-4	-1.943356E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.580000E-1	6.945340E-4	-1.290574E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.670000E-1	6.945340E-4	-1.290574E-4	3.301310E+2	6.766900E+1	1.410000E+0
3.780000E-1	1.168359E-2	5.617809E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.870000E-1	1.168359E-2	5.617809E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.670000E-1	1.169602E-2	5.625994E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.910000E-1	1.169602E-2	5.625994E-1	3.301310E+2	6.766900E+1	1.410000E+0
5.770000E-1	1.170584E-2	5.626320E-1	3.301310E+2	6.766900E+1	1.410000E+0
5.860000E-1	1.170584E-2	5.626320E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.670000E-1	1.170584E-2	5.632502E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.760000E-1	1.170584E-2	5.632502E-1	3.301310E+2	6.766900E+1	1.410000E+0
7.570000E-1	1.698224E-2	8.332665E-1	3.301310E+2	6.766900E+1	1.410000E+0
7.670000E-1	1.698224E-2	8.332665E-1	3.301310E+2	6.766900E+1	1.410000E+0
8.470000E-1	2.274422E-2	1.130082E+0	3.301310E+2	6.766900E+1	1.410000E+0
8.560000E-1	2.274422E-2	1.130082E+0	3.301310E+2	6.766900E+1	1.410000E+0
9.680000E-1	2.274983E-2	1.130319E+0	3.301310E+2	6.766900E+1	1.410000E+0
9.780000E-1	2.274983E-2	1.130319E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.057000E+0	2.275003E-2	1.129811E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.066000E+0	2.275003E-2	1.129811E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.146000E+0	2.273600E-2	1.129759E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.155000E+0	2.273600E-2	1.129759E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.236000E+0	2.824355E-2	1.412741E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.245000E+0	2.824355E-2	1.412741E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.326000E+0	2.826641E-2	1.414132E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.335000E+0	2.826641E-2	1.414132E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.447000E+0	2.826440E-2	1.414139E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.460000E+0	2.826440E-2	1.414139E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.546000E+0	2.825258E-2	1.414010E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.554000E+0	2.825258E-2	1.414010E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.636000E+0	3.916264E-2	1.976376E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.644000E+0	3.916264E-2	1.976376E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.726000E+0	3.920755E-2	1.978922E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.735000E+0	3.920755E-2	1.978922E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.815000E+0	3.921216E-2	1.979143E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.824000E+0	3.921216E-2	1.979143E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.937000E+0	3.921055E-2	1.978985E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.946000E+0	3.921055E-2	1.978985E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.026000E+0	4.785051E-2	2.423987E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.035000E+0	4.785051E-2	2.423987E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.115000E+0	5.025174E-2	2.549146E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.125000E+0	5.025174E-2	2.549146E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.206000E+0	5.024913E-2	2.550140E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.215000E+0	5.024913E-2	2.550140E+0	3.301310E+2	6.766900E+1	1.410000E+0
