Sample;s1(i1)
V-V length(cm);1.000000
Field (T);2.010142
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;3.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	7.931729E-4	6.025515E-6	3.301310E+2	6.766900E+1	1.410000E+0
2.300000E-2	7.799409E-4	1.054465E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.200000E-2	7.799409E-4	1.054465E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.470000E-1	1.179445E-2	9.540399E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.560000E-1	1.179445E-2	9.540399E-6	3.301310E+2	6.766900E+1	1.410000E+0
2.390000E-1	1.998873E-2	2.510631E-6	3.301310E+2	6.766900E+1	1.410000E+0
2.480000E-1	1.998873E-2	2.510631E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.330000E-1	2.835361E-2	1.958292E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.420000E-1	2.835361E-2	1.958292E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.220000E-1	4.481353E-2	1.958292E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.300000E-1	4.481353E-2	1.958292E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.130000E-1	5.936983E-2	2.159143E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.220000E-1	5.936983E-2	2.159143E-5	3.301310E+2	6.766900E+1	1.410000E+0
6.330000E-1	6.993746E-2	2.008505E-6	3.301310E+2	6.766900E+1	1.410000E+0
6.460000E-1	6.993746E-2	2.008505E-6	3.301310E+2	6.766900E+1	1.410000E+0
7.290000E-1	7.648434E-2	1.054465E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.380000E-1	7.648434E-2	1.054465E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.230000E-1	8.889564E-2	1.857867E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.310000E-1	8.889564E-2	1.857867E-5	3.301310E+2	6.766900E+1	1.410000E+0
9.120000E-1	9.989691E-2	2.410206E-5	3.301310E+2	6.766900E+1	1.410000E+0
9.210000E-1	9.989691E-2	2.410206E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.002000E+0	1.109613E-1	1.154890E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.011000E+0	1.109613E-1	1.154890E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.123000E+0	1.219075E-1	1.355783E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.132000E+0	1.219075E-1	1.355783E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.212000E+0	1.365324E-1	1.104720E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.221000E+0	1.365324E-1	1.104720E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.302000E+0	1.477407E-1	1.456208E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.310000E+0	1.477407E-1	1.456208E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.392000E+0	1.583054E-1	3.715776E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.401000E+0	1.583054E-1	3.715776E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.483000E+0	1.691180E-1	4.217902E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.491000E+0	1.691180E-1	4.217902E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.603000E+0	1.825788E-1	2.862162E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.617000E+0	1.825788E-1	2.862162E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.702000E+0	1.880641E-1	1.807697E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.711000E+0	1.880641E-1	1.807697E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.792000E+0	1.991015E-1	3.715776E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.801000E+0	1.991015E-1	3.715776E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.882000E+0	2.144906E-1	5.874919E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.891000E+0	2.144906E-1	5.874919E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.972000E+0	2.301650E-1	4.268115E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.981000E+0	2.301650E-1	4.268115E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.094000E+0	2.343239E-1	2.962587E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.103000E+0	2.343239E-1	2.962587E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.182000E+0	2.457470E-1	2.309823E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.192000E+0	2.457470E-1	2.309823E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.272000E+0	2.596540E-1	3.966839E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.281000E+0	2.596540E-1	3.966839E-5	3.301310E+2	6.766900E+1	1.410000E+0
