Sample;s2(i2)
V-V length(cm);1.000000
Field (T);13.058737
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;13.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	7.220001E-4	1.205135E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.400000E-2	7.163865E-4	1.255349E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.300000E-2	7.163865E-4	1.255349E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.030000E-1	7.107729E-4	2.962624E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.120000E-1	7.107729E-4	2.962624E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.920000E-1	7.151836E-4	2.008559E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.010000E-1	7.151836E-4	2.008559E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.810000E-1	1.172328E-2	1.908131E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.910000E-1	1.172328E-2	1.908131E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.710000E-1	1.173731E-2	2.962624E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.810000E-1	1.173731E-2	2.962624E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.930000E-1	1.174293E-2	3.314119E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.020000E-1	1.174293E-2	3.314119E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.820000E-1	1.174754E-2	1.355774E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.950000E-1	1.174754E-2	1.355774E-5	3.301310E+2	6.766900E+1	1.410000E+0
6.780000E-1	2.006270E-2	4.770324E-5	3.301310E+2	6.766900E+1	1.410000E+0
6.870000E-1	2.006270E-2	4.770324E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.730000E-1	2.276525E-2	1.908128E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.820000E-1	2.276525E-2	1.908128E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.620000E-1	2.277608E-2	4.619682E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.700000E-1	2.277608E-2	4.619682E-5	3.301310E+2	6.766900E+1	1.410000E+0
9.850000E-1	2.277227E-2	2.410268E-5	3.301310E+2	6.766900E+1	1.410000E+0
9.940000E-1	2.277227E-2	2.410268E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.078000E+0	2.277688E-2	1.506392E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.086000E+0	2.277688E-2	1.506392E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.171000E+0	2.797268E-2	6.377171E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.180000E+0	2.797268E-2	6.377171E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.261000E+0	2.830068E-2	1.958342E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.269000E+0	2.830068E-2	1.958342E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.351000E+0	2.830028E-2	1.707272E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.360000E+0	2.830028E-2	1.707272E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.472000E+0	2.829226E-2	-1.004306E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.480000E+0	2.829226E-2	-1.004306E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.561000E+0	3.924402E-2	4.318398E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.574000E+0	3.924402E-2	4.318398E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.656000E+0	3.924783E-2	2.912407E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.665000E+0	3.924783E-2	2.912407E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.750000E+0	3.925725E-2	1.606844E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.759000E+0	3.925725E-2	1.606844E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.840000E+0	3.925063E-2	3.816259E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.849000E+0	3.925063E-2	3.816259E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.960000E+0	4.743689E-2	1.129814E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.969000E+0	4.743689E-2	1.129814E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.049000E+0	5.028740E-2	2.410268E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.057000E+0	5.028740E-2	2.410268E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.138000E+0	5.030023E-2	1.857914E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.147000E+0	5.030023E-2	1.857914E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.229000E+0	5.029081E-2	2.159198E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.237000E+0	5.029081E-2	2.159198E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.318000E+0	5.029682E-2	3.514975E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.327000E+0	5.029682E-2	3.514975E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.438000E+0	6.131975E-2	4.217970E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.448000E+0	6.131975E-2	4.217970E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.529000E+0	6.132737E-2	1.757486E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.542000E+0	6.132737E-2	1.757486E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.624000E+0	6.133058E-2	2.309840E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.634000E+0	6.133058E-2	2.309840E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.717000E+0	6.132116E-2	2.560910E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.727000E+0	6.132116E-2	2.560910E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.808000E+0	6.978548E-2	1.019343E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.817000E+0	6.978548E-2	1.019343E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.929000E+0	7.234830E-2	1.104705E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.938000E+0	7.234830E-2	1.104705E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.017000E+0	7.235010E-2	1.205132E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.025000E+0	7.235010E-2	1.205132E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.107000E+0	7.234108E-2	2.811979E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.117000E+0	7.234108E-2	2.811979E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.197000E+0	7.234649E-2	2.811979E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.206000E+0	7.234649E-2	2.811979E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.288000E+0	7.781355E-2	4.268184E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.297000E+0	7.781355E-2	4.268184E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.408000E+0	7.782197E-2	2.912407E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.417000E+0	7.782197E-2	2.912407E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.496000E+0	7.780713E-2	2.611124E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.506000E+0	7.780713E-2	2.611124E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.587000E+0	7.780974E-2	2.008532E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.600000E+0	7.780974E-2	2.008532E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.683000E+0	8.884691E-2	3.113263E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.692000E+0	8.884691E-2	3.113263E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.776000E+0	8.884290E-2	3.866473E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.785000E+0	8.884290E-2	3.866473E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.897000E+0	8.883568E-2	3.263905E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.906000E+0	8.883568E-2	3.263905E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.986000E+0	8.884430E-2	3.063049E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.994000E+0	8.884430E-2	3.063049E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.075000E+0	9.726652E-2	1.109728E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.084000E+0	9.726652E-2	1.109728E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.165000E+0	9.986723E-2	3.866473E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.174000E+0	9.986723E-2	3.866473E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.256000E+0	9.985440E-2	2.611124E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.264000E+0	9.985440E-2	2.611124E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.375000E+0	9.984919E-2	3.163477E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.384000E+0	9.984919E-2	3.163477E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.465000E+0	9.987284E-2	2.360054E-5	3.301310E+2	6.766900E+1	1.410000E+0
